step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
417,delete,251.516,-1.0,-1.0,0.0,3.13049
418,search,6539.71,0.9107,0.113376,11.465,3.13049
419,delete,32.951,-1.0,-1.0,0.0,3.12623
420,search,6786.64,0.91031,0.113691,11.515,3.12623
421,delete,32.175,-1.0,-1.0,0.0,3.116
422,search,6887.87,0.91041,0.113577,11.477,3.116
423,delete,201.995,-1.0,-1.0,0.0,3.05635
424,search,6718.32,0.90985,0.113969,11.126,3.05635
425,delete,23.994,-1.0,-1.0,0.0,3.05145
426,search,6772.74,0.91019,0.113755,11.168,3.05145
427,delete,62.614,-1.0,-1.0,0.0,3.04109
428,search,6400.42,0.90947,0.114326,11.108,3.04109
429,delete,558.157,-1.0,-1.0,0.0,2.88633
430,search,5520.87,0.89995,0.12329,7.479,2.88633
431,delete,53.899,-1.0,-1.0,0.0,2.84769
432,search,6262.02,0.90008,0.123133,11.081,2.84769
433,delete,230.931,-1.0,-1.0,0.0,2.77155
434,search,5975.25,0.89983,0.123087,11.68,2.77155
435,delete,151.502,-1.0,-1.0,0.0,2.72474
436,search,6229.89,0.89889,0.124231,11.567,2.72474
437,delete,21.18,-1.0,-1.0,0.0,2.7196
438,search,6032.29,0.89845,0.124508,11.42,2.7196
439,delete,169.906,-1.0,-1.0,0.0,2.66641
440,search,6206,0.89797,0.124529,11.388,2.66641
441,delete,49.703,-1.0,-1.0,0.0,2.65253
442,search,5997.26,0.89785,0.124741,11.357,2.65253
443,delete,44.388,-1.0,-1.0,0.0,2.63904
444,search,6162.58,0.89761,0.124901,11.16,2.63904
445,delete,53.999,-1.0,-1.0,0.0,2.62242
446,search,5931.22,0.89757,0.124943,11.05,2.62242
447,delete,468.763,-1.0,-1.0,0.0,2.46324
448,search,5942.04,0.89747,0.124589,11.114,2.46324
449,delete,45.661,-1.0,-1.0,0.0,2.45092
450,search,5928.56,0.89633,0.125216,11.033,2.45092
451,delete,118.521,-1.0,-1.0,0.0,2.40849
452,search,5879.94,0.89476,0.126614,11.08,2.40849
453,delete,368.603,-1.0,-1.0,0.0,2.2903
454,search,5766.87,0.89381,0.126825,11.003,2.2903
455,delete,45.083,-1.0,-1.0,0.0,2.27424
456,search,5570.75,0.89301,0.127219,10.938,2.27424
457,delete,8.377,-1.0,-1.0,0.0,2.27111
458,search,5559.27,0.89238,0.127513,11.548,2.27111
459,delete,67.453,-1.0,-1.0,0.0,2.2525
460,search,5728.46,0.89234,0.12738,11.241,2.2525
461,delete,12.261,-1.0,-1.0,0.0,2.25075
462,search,5497.49,0.89233,0.127325,11.443,2.25075
463,delete,93.478,-1.0,-1.0,0.0,2.2265
464,search,5674.98,0.89164,0.12783,11.252,2.2265
465,delete,39.379,-1.0,-1.0,0.0,2.21419
466,search,5555.44,0.89083,0.128229,11.059,2.21419
467,delete,44.995,-1.0,-1.0,0.0,2.20259
468,search,5666.69,0.89038,0.12873,11.06,2.20259
469,delete,30.135,-1.0,-1.0,0.0,2.19197
470,search,5633.6,0.88928,0.129278,11.084,2.19197
471,delete,173.173,-1.0,-1.0,0.0,2.13495
472,search,5527.45,0.88853,0.130066,10.812,2.13495
473,delete,157.439,-1.0,-1.0,0.0,2.083
474,search,5513.45,0.88811,0.130488,10.951,2.083
475,delete,486.715,-1.0,-1.0,0.0,1.89445
476,search,5159.44,0.88494,0.132468,11.106,1.89445
